date,six pack,aesthetic body,shredded physique,fitness model workout,how to get ripped
2004-01-01,38,0,0,0,0
2004-02-01,38,0,0,0,2
2004-03-01,40,0,0,0,2
2004-04-01,38,0,0,0,2
2004-05-01,44,0,0,0,3
2004-06-01,43,0,0,0,2
2004-07-01,41,0,0,0,2
2004-08-01,41,0,0,0,2
2004-09-01,37,0,0,0,2
2004-10-01,37,0,0,0,2
2004-11-01,35,0,0,0,2
2004-12-01,40,0,0,0,2
2005-01-01,41,0,0,0,3
2005-02-01,38,0,0,0,2
2005-03-01,43,0,0,0,2
2005-04-01,44,0,0,0,2
2005-05-01,46,0,0,0,2
2005-06-01,51,0,0,0,2
2005-07-01,53,0,0,0,2
2005-08-01,42,0,0,0,3
2005-09-01,39,0,0,0,2
2005-10-01,37,1,0,0,1
2005-11-01,38,0,0,0,1
2005-12-01,37,0,0,0,1
2006-01-01,49,0,0,0,2
2006-02-01,41,0,0,0,2
2006-03-01,42,0,0,0,3
2006-04-01,44,0,0,0,3
2006-05-01,45,1,0,0,3
2006-06-01,47,0,0,0,2
2006-07-01,48,0,0,0,3
2006-08-01,40,0,0,0,2
2006-09-01,33,0,0,0,2
2006-10-01,36,0,0,1,2
2006-11-01,35,0,0,0,2
2006-12-01,34,0,0,0,2
2007-01-01,40,0,0,0,3
2007-02-01,42,0,0,0,2
2007-03-01,45,0,0,0,3
2007-04-01,49,0,0,0,3
2007-05-01,48,0,0,0,3
2007-06-01,53,0,0,0,3
2007-07-01,52,0,0,0,3
2007-08-01,51,0,0,0,3
2007-09-01,47,0,0,0,3
2007-10-01,47,0,0,0,3
2007-11-01,47,0,0,0,3
2007-12-01,48,0,0,0,3
2008-01-01,55,1,0,0,4
2008-02-01,55,0,0,0,4
2008-03-01,55,0,0,0,4
2008-04-01,52,0,0,0,3
2008-05-01,60,0,0,0,4
2008-06-01,67,0,0,0,5
2008-07-01,59,0,0,0,5
2008-08-01,55,0,0,0,4
2008-09-01,52,0,0,0,4
2008-10-01,74,0,0,0,4
2008-11-01,56,0,0,0,4
2008-12-01,64,0,0,0,4
2009-01-01,67,0,0,0,5
2009-02-01,60,0,0,0,5
2009-03-01,67,0,0,1,5
2009-04-01,64,0,0,0,6
2009-05-01,75,0,0,0,6
2009-06-01,82,0,0,0,6
2009-07-01,88,0,0,0,6
2009-08-01,79,0,0,0,7
2009-09-01,65,0,0,0,9
2009-10-01,68,0,0,0,12
2009-11-01,70,0,0,0,13
2009-12-01,71,0,0,0,13
2010-01-01,79,0,0,1,12
2010-02-01,74,0,0,1,11
2010-03-01,78,0,0,0,10
2010-04-01,79,0,0,1,9
2010-05-01,82,0,0,1,10
2010-06-01,87,0,0,1,10
2010-07-01,84,0,0,1,11
2010-08-01,69,0,0,0,9
2010-09-01,69,0,0,1,8
2010-10-01,63,0,0,0,7
2010-11-01,61,0,0,1,7
2010-12-01,70,0,0,0,6
2011-01-01,76,0,0,1,8
2011-02-01,70,0,0,1,8
2011-03-01,69,0,0,0,8
2011-04-01,73,0,0,0,8
2011-05-01,78,0,0,0,8
2011-06-01,84,0,0,0,8
2011-07-01,83,0,0,1,8
2011-08-01,91,0,0,1,7
2011-09-01,81,0,0,0,7
2011-10-01,71,0,0,0,6
2011-11-01,84,0,0,1,6
2011-12-01,87,0,0,1,6
2012-01-01,100,0,0,1,8
2012-02-01,93,0,0,1,7
2012-03-01,85,0,0,1,7
2012-04-01,83,0,0,1,7
2012-05-01,82,0,0,1,8
2012-06-01,91,0,0,1,8
2012-07-01,94,1,0,1,9
2012-08-01,84,0,0,1,8
2012-09-01,77,0,0,1,7
2012-10-01,77,0,0,1,6
2012-11-01,73,0,0,1,6
2012-12-01,74,0,0,1,6
2013-01-01,86,1,0,1,8
2013-02-01,80,0,0,1,7
2013-03-01,86,1,0,1,8
2013-04-01,86,0,0,1,7
2013-05-01,85,0,0,1,8
2013-06-01,86,1,0,1,8
2013-07-01,89,1,0,1,8
2013-08-01,88,1,0,1,8
2013-09-01,70,1,0,1,6
2013-10-01,74,1,0,1,6
2013-11-01,74,1,0,1,6
2013-12-01,78,1,0,1,6
2014-01-01,87,1,0,1,7
2014-02-01,82,1,0,1,7
2014-03-01,82,1,0,1,7
2014-04-01,83,1,0,1,7
2014-05-01,86,1,0,1,7
2014-06-01,95,1,0,1,7
2014-07-01,91,1,0,1,7
2014-08-01,89,1,0,1,6
2014-09-01,79,1,0,1,5
2014-10-01,82,1,0,1,5
2014-11-01,80,1,0,1,5
2014-12-01,75,1,0,1,5
2015-01-01,83,1,0,1,6
