date,cardio health,flexibility exercises,functional fitness,cardio time,longevity fitness
2004-01-01,23,35,0,0,0
2004-02-01,17,30,0,0,0
2004-03-01,24,31,0,21,0
2004-04-01,18,33,17,0,0
2004-05-01,20,33,0,0,0
2004-06-01,0,22,14,0,0
2004-07-01,17,17,0,0,0
2004-08-01,15,29,0,0,0
2004-09-01,24,29,0,0,0
2004-10-01,13,39,0,0,0
2004-11-01,18,38,0,0,0
2004-12-01,0,26,12,0,0
2005-01-01,10,28,12,0,0
2005-02-01,20,40,0,0,0
2005-03-01,20,28,10,0,0
2005-04-01,24,29,0,0,0
2005-05-01,17,35,18,0,0
2005-06-01,20,29,0,0,0
2005-07-01,18,27,22,11,0
2005-08-01,21,23,0,13,0
2005-09-01,16,20,18,0,0
2005-10-01,21,33,7,0,0
2005-11-01,18,29,11,8,0
2005-12-01,14,25,0,9,0
2006-01-01,22,32,12,11,0
2006-02-01,19,37,13,9,0
2006-03-01,16,36,11,11,0
2006-04-01,11,26,14,0,0
2006-05-01,16,26,11,0,0
2006-06-01,20,28,15,7,0
2006-07-01,13,24,8,7,0
2006-08-01,19,22,9,7,0
2006-09-01,14,24,11,7,0
2006-10-01,13,33,9,7,0
2006-11-01,15,26,7,5,0
2006-12-01,13,18,6,0,0
2007-01-01,16,28,8,9,0
2007-02-01,18,24,8,9,0
2007-03-01,14,26,7,12,0
2007-04-01,14,24,11,9,0
2007-05-01,19,28,11,8,0
2007-06-01,12,27,11,7,0
2007-07-01,13,20,10,7,0
2007-08-01,14,20,9,8,0
2007-09-01,16,20,11,10,4
2007-10-01,14,23,11,4,5
2007-11-01,14,19,9,8,0
2007-12-01,16,20,14,6,0
2008-01-01,17,25,14,10,0
2008-02-01,17,23,12,7,0
2008-03-01,16,25,14,9,0
2008-04-01,14,24,11,8,0
2008-05-01,12,19,12,8,0
2008-06-01,13,22,11,10,0
2008-07-01,14,19,9,10,0
2008-08-01,14,19,11,13,0
2008-09-01,14,21,9,7,0
2008-10-01,13,24,12,7,0
2008-11-01,15,22,10,8,0
2008-12-01,11,20,7,7,0
2009-01-01,17,26,10,11,2
2009-02-01,19,26,10,14,0
2009-03-01,16,29,13,12,0
2009-04-01,17,28,11,12,0
2009-05-01,15,28,11,12,0
2009-06-01,14,28,10,12,0
2009-07-01,16,27,10,12,0
2009-08-01,14,26,10,12,2
2009-09-01,14,25,10,9,0
2009-10-01,15,34,10,12,0
2009-11-01,16,34,12,11,0
2009-12-01,13,32,10,10,0
2010-01-01,15,34,11,12,2
2010-02-01,17,40,12,14,0
2010-03-01,13,40,12,13,0
2010-04-01,15,41,12,11,0
2010-05-01,13,38,11,11,0
2010-06-01,12,37,10,15,0
2010-07-01,11,30,8,13,0
2010-08-01,14,26,11,13,0
2010-09-01,13,28,12,13,0
2010-10-01,16,30,11,11,0
2010-11-01,15,32,12,10,0
2010-12-01,13,27,11,9,0
2011-01-01,18,34,13,17,1
2011-02-01,16,33,11,14,0
2011-03-01,15,32,13,15,2
2011-04-01,14,32,13,15,1
2011-05-01,15,32,13,13,1
2011-06-01,14,31,15,17,2
2011-07-01,13,28,13,14,2
2011-08-01,15,28,12,13,1
2011-09-01,14,30,14,12,1
2011-10-01,15,32,14,12,1
2011-11-01,13,31,13,11,1
2011-12-01,12,25,11,11,1
2012-01-01,14,34,16,14,1
2012-02-01,13,34,15,15,2
2012-03-01,14,32,16,14,1
2012-04-01,14,30,15,14,1
2012-05-01,12,31,13,14,2
2012-06-01,12,33,12,15,2
2012-07-01,13,33,14,18,1
2012-08-01,11,31,17,16,1
2012-09-01,13,33,16,13,1
2012-10-01,12,35,16,11,1
2012-11-01,11,32,18,14,1
2012-12-01,11,27,16,12,1
2013-01-01,15,32,19,16,1
2013-02-01,13,37,19,16,1
2013-03-01,13,37,20,18,1
2013-04-01,13,37,20,18,2
2013-05-01,12,32,19,16,1
2013-06-01,12,36,19,16,2
2013-07-01,12,35,20,18,1
2013-08-01,12,27,20,16,1
2013-09-01,9,35,21,14,1
2013-10-01,13,37,20,13,1
2013-11-01,12,34,19,13,1
2013-12-01,10,28,18,12,1
2014-01-01,13,36,24,17,2
2014-02-01,14,36,24,16,2
2014-03-01,11,34,21,15,1
2014-04-01,12,32,22,16,2
2014-05-01,12,31,21,17,1
2014-06-01,12,35,21,17,2
2014-07-01,11,31,23,16,1
2014-08-01,11,28,25,14,1
2014-09-01,12,35,22,14,1
2014-10-01,13,36,23,14,1
2014-11-01,11,33,19,13,1
2014-12-01,10,26,19,12,1
2015-01-01,13,36,25,16,0
2015-02-01,13,34,22,16,1
2015-03-01,12,33,22,15,1
2015-04-01,11,33,23,17,1
2015-05-01,11,31,20,16,1
2015-06-01,12,31,21,15,1
