date,HIIT for heart,mobility training,heart rate zones,walk for health,VO2 max
2004-01-01,0,0,5,0,28
2004-02-01,0,0,5,0,31
2004-03-01,0,0,0,0,39
2004-04-01,0,0,5,0,38
2004-05-01,0,0,5,0,33
2004-06-01,0,0,3,0,21
2004-07-01,0,0,0,0,30
2004-08-01,0,0,6,0,21
2004-09-01,0,0,5,0,26
2004-10-01,0,0,0,3,36
2004-11-01,0,3,5,0,38
2004-12-01,0,0,5,0,28
2005-01-01,0,2,3,0,27
2005-02-01,0,0,7,0,37
2005-03-01,0,0,5,0,34
2005-04-01,0,3,4,0,34
2005-05-01,0,3,3,2,31
2005-06-01,0,0,3,0,27
2005-07-01,0,2,5,3,27
2005-08-01,0,3,4,2,24
2005-09-01,0,0,3,2,31
2005-10-01,0,2,2,2,39
2005-11-01,0,2,4,0,37
2005-12-01,0,0,3,0,28
2006-01-01,0,2,7,2,34
2006-02-01,0,2,5,2,32
2006-03-01,0,0,4,3,41
2006-04-01,0,0,4,3,33
2006-05-01,0,0,5,2,30
2006-06-01,0,2,4,2,23
2006-07-01,0,2,4,2,23
2006-08-01,0,2,4,2,22
2006-09-01,0,2,3,3,27
2006-10-01,0,2,3,2,32
2006-11-01,0,1,4,1,30
2006-12-01,0,1,5,0,24
2007-01-01,0,1,7,2,28
2007-02-01,0,0,5,2,28
2007-03-01,0,2,4,2,32
2007-04-01,0,1,5,2,30
2007-05-01,0,2,4,2,27
2007-06-01,0,1,3,2,22
2007-07-01,0,1,4,2,20
2007-08-01,0,2,4,2,20
2007-09-01,0,1,4,2,25
2007-10-01,0,2,4,2,31
2007-11-01,0,2,4,2,30
2007-12-01,0,1,3,2,25
2008-01-01,0,2,6,2,25
2008-02-01,0,1,4,2,30
2008-03-01,0,1,4,1,32
2008-04-01,0,1,5,3,32
2008-05-01,0,2,4,2,27
2008-06-01,0,2,4,2,23
2008-07-01,0,2,4,2,19
2008-08-01,0,2,4,2,21
2008-09-01,0,2,6,3,25
2008-10-01,0,2,5,2,27
2008-11-01,0,1,5,1,28
2008-12-01,0,1,7,1,21
2009-01-01,0,2,11,2,22
2009-02-01,0,2,9,1,28
2009-03-01,0,2,7,2,28
2009-04-01,0,2,7,3,28
2009-05-01,0,1,8,2,26
2009-06-01,1,2,8,2,23
2009-07-01,0,2,9,2,26
2009-08-01,0,2,9,3,23
2009-09-01,0,1,8,2,28
2009-10-01,0,2,9,3,30
2009-11-01,0,2,8,2,26
2009-12-01,0,1,8,1,22
2010-01-01,0,1,13,3,22
2010-02-01,0,2,12,2,26
2010-03-01,0,2,10,2,28
2010-04-01,0,2,10,3,27
2010-05-01,0,2,9,3,24
2010-06-01,0,2,9,2,20
2010-07-01,0,1,8,2,17
2010-08-01,0,1,9,3,18
2010-09-01,0,1,8,3,24
2010-10-01,0,2,8,2,26
2010-11-01,0,2,8,2,26
2010-12-01,0,1,8,2,19
2011-01-01,0,1,12,2,21
2011-02-01,0,1,11,3,24
