date,anavar,trenbolone,blast and cruise,steroid cycle,ripped fast
2004-01-01,26,16,0,7,6
2004-02-01,25,12,6,0,0
2004-03-01,33,13,0,8,0
2004-04-01,23,14,0,6,0
2004-05-01,27,11,0,8,0
2004-06-01,30,16,0,11,0
2004-07-01,32,13,0,7,0
2004-08-01,30,14,0,6,0
2004-09-01,26,13,0,6,0
2004-10-01,24,12,0,8,0
2004-11-01,18,12,0,9,0
2004-12-01,17,8,0,0,0
2005-01-01,21,12,0,6,0
2005-02-01,27,10,0,9,0
2005-03-01,23,15,0,8,3
2005-04-01,27,17,0,9,0
2005-05-01,26,15,0,10,0
2005-06-01,21,11,0,6,3
2005-07-01,23,14,0,9,3
2005-08-01,25,15,0,8,0
2005-09-01,21,12,0,9,0
2005-10-01,21,13,0,6,4
2005-11-01,19,12,0,6,0
2005-12-01,22,10,0,6,0
2006-01-01,21,11,0,8,4
2006-02-01,25,11,0,6,6
2006-03-01,25,16,0,9,4
2006-04-01,29,18,0,7,4
2006-05-01,26,17,0,8,2
2006-06-01,22,14,0,8,4
2006-07-01,25,15,0,5,3
2006-08-01,23,13,0,5,4
2006-09-01,21,12,0,7,3
2006-10-01,22,12,0,6,3
2006-11-01,20,11,0,5,3
2006-12-01,17,11,0,6,0
2007-01-01,22,15,0,5,3
2007-02-01,22,18,0,6,3
2007-03-01,25,16,0,6,3
2007-04-01,28,16,0,8,5
2007-05-01,27,16,0,7,3
2007-06-01,26,16,0,6,4
2007-07-01,25,17,0,6,4
2007-08-01,25,14,0,8,4
2007-09-01,24,14,0,5,3
2007-10-01,23,11,0,7,3
2007-11-01,20,12,0,5,3
2007-12-01,24,15,0,7,3
2008-01-01,28,16,0,7,5
2008-02-01,29,18,0,8,4
2008-03-01,28,18,0,9,3
2008-04-01,33,18,0,8,5
2008-05-01,33,17,0,9,4
2008-06-01,31,18,0,7,4
2008-07-01,31,16,0,7,5
2008-08-01,31,18,0,9,4
2008-09-01,30,17,0,7,5
2008-10-01,26,15,0,9,6
2008-11-01,29,16,0,8,7
2008-12-01,27,13,0,7,6
2009-01-01,34,17,0,7,6
2009-02-01,37,19,0,10,7
2009-03-01,40,20,0,9,7
2009-04-01,40,22,0,10,8
2009-05-01,42,22,0,12,8
2009-06-01,38,17,0,11,8
2009-07-01,38,20,0,10,10
2009-08-01,38,20,0,11,12
2009-09-01,35,20,0,10,14
2009-10-01,35,19,0,10,21
2009-11-01,33,17,0,10,21
2009-12-01,36,17,0,11,16
2010-01-01,41,19,0,12,18
2010-02-01,42,18,0,12,14
2010-03-01,48,20,0,12,14
2010-04-01,52,21,0,13,12
2010-05-01,53,21,0,14,12
2010-06-01,48,19,0,12,12
2010-07-01,53,21,0,13,12
2010-08-01,56,19,0,15,10
2010-09-01,50,19,0,13,10
2010-10-01,50,19,0,13,10
2010-11-01,47,18,0,12,9
2010-12-01,45,15,0,12,9
2011-01-01,55,19,0,12,11
2011-02-01,65,21,0,13,11
2011-03-01,68,22,0,14,10
2011-04-01,72,24,0,16,11
2011-05-01,74,25,0,14,11
2011-06-01,70,24,0,15,11
2011-07-01,61,21,0,14,11
2011-08-01,62,21,0,16,10
2011-09-01,60,21,0,16,10
2011-10-01,60,20,0,14,10
2011-11-01,61,20,0,14,10
2011-12-01,52,19,0,13,9
2012-01-01,90,23,0,17,11
2012-02-01,77,24,0,16,10
2012-03-01,82,25,0,17,10
2012-04-01,84,25,0,18,11
2012-05-01,92,25,0,18,12
2012-06-01,84,25,0,18,12
2012-07-01,84,25,0,18,13
2012-08-01,73,25,0,19,13
