Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Series Id:,CUUR0000SERF01,,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,,
Series Title:,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,,
Item:,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",,,,,,,,,,,,,,
Base Period:,DECEMBER 1997=100,,,,,,,,,,,,,,
Years:,2000 to 2025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2000,107.1,107.3,108.1,108.3,108.0,108.2,109.2,109.6,110.2,110.2,110.4,110.1,108.9,,
2001,111.3,111.5,111.4,112.6,112.6,110.8,110.6,110.6,111.2,111.7,113.1,112.4,111.7,,
2002,112.7,113.0,113.8,113.8,113.4,112.3,112.1,112.2,112.5,113.2,113.2,113.1,112.9,,
2003,113.4,114.8,116.2,116.9,116.4,116.3,116.2,116.3,116.8,117.3,116.6,116.1,116.1,,
2004,116.9,117.5,118.1,116.5,116.6,116.5,115.9,116.1,116.3,116.4,116.9,116.4,116.7,,
2005,116.8,116.9,116.7,117.5,117.3,116.9,116.3,115.6,117.4,118.8,119.6,119.4,117.4,,
2006,120.1,121.4,121.7,122.1,122.4,122.2,121.6,121.7,122.2,122.2,122.6,122.0,121.9,,
2007,122.849,122.836,123.084,123.882,124.431,124.318,123.878,123.985,123.804,123.191,124.316,123.864,123.703,,
2008,124.846,124.889,124.800,125.812,126.269,126.724,126.477,126.632,126.061,126.456,125.935,125.014,125.826,,
2009,125.164,126.609,126.564,124.951,125.792,126.309,126.034,125.716,126.794,125.756,125.403,122.918,125.668,,
2010,122.949,123.428,121.755,124.583,124.846,124.195,124.673,124.735,122.119,122.059,122.921,123.325,123.466,,
2011,122.761,122.139,121.677,121.736,122.764,122.796,120.978,121.400,120.824,119.649,122.577,125.494,122.066,,
2012,125.841,124.774,125.835,125.397,124.847,125.227,125.076,125.488,125.645,125.479,126.351,125.963,125.494,,
2013,126.283,127.731,126.698,126.961,127.375,127.120,126.482,126.951,128.700,128.993,128.565,127.923,127.482,,
2014,129.356,129.574,129.185,129.189,129.482,129.556,130.332,129.431,129.083,129.207,129.200,128.377,129.331,,
2015,130.186,128.532,128.144,128.872,129.237,131.952,132.608,131.751,131.427,130.553,129.403,129.040,130.142,,
2016,129.269,130.481,131.664,132.796,132.334,132.834,132.198,131.934,133.010,132.993,133.789,133.083,132.199,,
2017,132.751,134.398,134.381,133.960,134.226,134.452,135.363,136.080,136.148,137.016,136.893,138.108,135.315,,
2018,138.316,137.874,138.748,137.973,138.208,138.376,138.538,139.263,139.350,139.847,141.997,141.454,139.162,138.249,140.075
2019,142.221,143.416,143.262,143.983,140.975,140.561,141.982,142.489,141.790,143.243,144.777,145.706,142.867,142.403,143.331
2020,146.473,146.023,147.256,147.657,151.327,145.961,139.042,139.393,143.042,144.308,144.728,145.185,145.033,147.450,142.616
2021,145.086,145.500,145.734,146.026,145.417,145.415,146.031,146.267,146.223,146.754,146.886,147.742,146.090,145.530,146.651
2022,148.622,149.004,149.578,150.116,150.851,150.466,151.033,151.627,152.253,154.097,154.341,155.473,151.455,149.773,153.137
2023,156.205,157.391,156.758,156.862,157.337,157.093,158.392,158.565,158.294,157.242,157.502,159.937,157.632,156.941,158.322
2024,161.015,161.636,161.946,162.022,162.512,162.363,162.688,163.305,159.907,163.220,167.641,167.395,162.971,161.916,164.026
2025,169.042,169.914,169.925,,,,,,,,,,,,
